Country	Code	Year	Carbon_intensity	Unit
afghanistan	AFG	2021	120.481926	gCO2/kWh
africa	NA	2021	488.25848	gCO2/kWh
africa (ember)	NA	2022	491.6929	gCO2/kWh
albania	ALB	2021	23.437498	gCO2/kWh
algeria	DZA	2021	498.9037	gCO2/kWh
american samoa	ASM	2021	687.5	gCO2/kWh
angola	AGO	2021	195.98296	gCO2/kWh
antigua and barbuda	ATG	2021	657.1429	gCO2/kWh
argentina	ARG	2022	338.2752	gCO2/kWh
armenia	ARM	2021	222.6776	gCO2/kWh
aruba	ABW	2021	591.3978	gCO2/kWh
asean (ember)	NA	2022	502.73425	gCO2/kWh
asia	NA	2021	538.281	gCO2/kWh
asia (ember)	NA	2022	532.1157	gCO2/kWh
australia	AUS	2022	503.17862	gCO2/kWh
austria	AUT	2022	157.52046	gCO2/kWh
azerbaijan	AZE	2021	532.9022	gCO2/kWh
bahamas	BHS	2021	698.1133	gCO2/kWh
bahrain	BHR	2021	489.77023	gCO2/kWh
bangladesh	BGD	2022	577.02686	gCO2/kWh
barbados	BRB	2021	644.85974	gCO2/kWh
belarus	BLR	2021	415.64066	gCO2/kWh
belgium	BEL	2022	165.36267	gCO2/kWh
belize	BLZ	2021	484.375	gCO2/kWh
benin	BEN	2021	666.6667	gCO2/kWh
bhutan	BTN	2021	24.444445	gCO2/kWh
bolivia	BOL	2022	323.86865	gCO2/kWh
bosnia and herzegovina	BIH	2022	517.24133	gCO2/kWh
botswana	BWA	2021	794.5205	gCO2/kWh
brazil	BRA	2022	102.044426	gCO2/kWh
british virgin islands	VGB	2021	714.2857	gCO2/kWh
brunei	BRN	2021	658.8486	gCO2/kWh
bulgaria	BGR	2022	399.565	gCO2/kWh
burkina faso	BFA	2021	611.4286	gCO2/kWh
burundi	BDI	2022	250.00002	gCO2/kWh
cambodia	KHM	2021	400.46033	gCO2/kWh
cameroon	CMR	2021	278.26086	gCO2/kWh
canada	CAN	2022	127.815544	gCO2/kWh
cape verde	CPV	2021	600	gCO2/kWh
cayman islands	CYM	2021	684.9315	gCO2/kWh
central african republic	CAF	2021	0	gCO2/kWh
chad	TCD	2021	677.4193	gCO2/kWh
chile	CHL	2022	332.61234	gCO2/kWh
china	CHN	2022	531.15076	gCO2/kWh
colombia	COL	2022	168.9541	gCO2/kWh
comoros	COM	2021	714.2857	gCO2/kWh
congo	COG	2021	395.5224	gCO2/kWh
cook islands	COK	2021	400	gCO2/kWh
costa rica	CRI	2022	37.212986	gCO2/kWh
cote d'ivoire	CIV	2021	410.74686	gCO2/kWh
croatia	HRV	2022	246.45894	gCO2/kWh
cuba	CUB	2021	602.0253	gCO2/kWh
cyprus	CYP	2022	589.3536	gCO2/kWh
czechia	CZE	2022	415.34482	gCO2/kWh
democratic republic of congo	COD	2021	25.36232	gCO2/kWh
denmark	DNK	2022	180.7089	gCO2/kWh
djibouti	DJI	2021	666.6667	gCO2/kWh
dominica	DMA	2021	529.4118	gCO2/kWh
dominican republic	DOM	2021	550.88116	gCO2/kWh
east timor	TLS	2021	698.1133	gCO2/kWh
ecuador	ECU	2022	188.70775	gCO2/kWh
egypt	EGY	2022	485.3669	gCO2/kWh
el salvador	SLV	2022	194.22572	gCO2/kWh
equatorial guinea	GNQ	2021	492.95773	gCO2/kWh
eritrea	ERI	2021	688.88885	gCO2/kWh
estonia	EST	2022	464.02875	gCO2/kWh
eswatini	SWZ	2021	189.1892	gCO2/kWh
ethiopia	ETH	2021	25.187202	gCO2/kWh
europe	NA	2021	278.36868	gCO2/kWh
europe (ember)	NA	2022	298.03613	gCO2/kWh
european union (27)	NA	2021	261.76843	gCO2/kWh
falkland islands	FLK	2021	500	gCO2/kWh
faroe islands	FRO	2021	428.57147	gCO2/kWh
fiji	FJI	2021	289.4737	gCO2/kWh
finland	FIN	2022	130.97685	gCO2/kWh
france	FRA	2022	84.817245	gCO2/kWh
french guiana	GUF	2011	254.71701	gCO2/kWh
french polynesia	PYF	2021	471.4286	gCO2/kWh
g20 (ember)	NA	2022	440.49875	gCO2/kWh
g7 (ember)	NA	2022	341.11542	gCO2/kWh
gabon	GAB	2021	397.37994	gCO2/kWh
gambia	GMB	2021	699.99994	gCO2/kWh
